address,type,value,xref_count,first_xref
"1410ac8d0","string","N:\FRPG2_64\Source\dantelion2_steam\dist\include_utf8\dantelion2/Core/Kernel/Spec/Win32/TLS.h",920,"14041fa81"
"1410acba0","string","N:\FRPG2_64\Source\dantelion2_steam\dist\include_utf8\dantelion2/Core/Util/DLFixedVector.inl",2361,"14013f8e2"
"1410ae4d0","string","N:\FRPG2_64\Source\dantelion2_steam\dist\include_utf8\dantelion2/Core/Kernel/DLFixedStdAllocator.inl",215,"14001fb3b"
"1410afa68","string","steamid",2,"14051c7ef"
"1410c4f90","string","Regulation",1,"1401c3501"
"1410c5560","string","MapHitConnectComponent",2,"141071f15"
"1410c5578","unicode","MapHitConnectComponent",2,"141071f20"
"1410c7890","string","N:\FRPG2_64\Source\dantelion2_steam\dist\include_utf8\dantelion2/Core/Util/DLVector.inl",11,"140bdf1fb"
"1410c8db0","string","MapGeneralPhantomLocation",2,"141073035"
"1410c8dd0","unicode","MapGeneralPhantomLocation",2,"141073040"
"1410d3100","string","N:\FRPG2_64\Source\dantelion2_steam\dist\include_utf8\dantelion2/Core/Kernel/DLDefaultHeapStrategy.inl",3,"14027868b"
"1410d3170","string","N:\FRPG2_64\Source\dantelion2_steam\dist\include_utf8\dantelion2/Core/Kernel/DLBiHeapStrategy.inl",2,"14027866b"
"1410d4ab0","unicode","frpg2-steam64-ope-login.fromsoftware-game.net",1,"14028a020"
"1410d6540","string","..\..\Source\Network\Server\SummonSign\NetSvrSummonSignUtil.cpp",2,"1402a7416"
"1410d9c80","string","RegulationResourceObject",2,"141074245"
"1410d9ca0","unicode","RegulationResourceObject",2,"141074250"
"1410d9d48","string","RegulationResourceObject_NoApply",2,"141074285"
"1410d9d70","unicode","RegulationResourceObject_NoApply",2,"141074290"
"1410d9e28","string","ParamFileResourceObject_ForRegulation",2,"1410742c5"
"1410d9e50","unicode","ParamFileResourceObject_ForRegulation",2,"1410742d0"
"1410d9f08","string","EventMakerExResourceObject_ForRegulation",2,"141074305"
"1410d9f40","unicode","EventMakerExResourceObject_ForRegulation",2,"141074310"
"1410da008","string","MessageResourceObject_ForRegulation",2,"141074345"
"1410da030","unicode","MessageResourceObject_ForRegulation",2,"141074350"
"1410da538","string","User.Privilege.MultiplayerSessions",1,"1402e86fb"
"1410e17f8","unicode","NpcPhantom_c%06d",1,"14035641b"
"1410e1878","unicode","NpcPhantom_c%d",1,"140356797"
"1410e6a50","string","AttackOnline",2,"1403a4d22"
"1410eb700","string","MapPhantomComponent",2,"141075465"
"1410eb718","unicode","MapPhantomComponent",2,"141075470"
"1410ee698","string","GameEntityPhantomEventNotifyInterface",2,"141075f95"
"1410ee6c0","unicode","GameEntityPhantomEventNotifyInterface",2,"141075fa0"
"1410f2080","unicode","ChrNetworkPhantomParam",2,"14048b9c5"
"1410f20b0","unicode","ChrNetworkPhantomSoulRateParam",2,"14048b9d3"
"1410f2918","unicode","BloodMessageSentence",1,"141585ee0"
"1410f2948","unicode","BloodMessageWordCategory",1,"141585ee8"
"1410f2980","unicode","BloodMessageWord",1,"141585ef0"
"1410f29a8","unicode","BloodMessageConjunction",1,"141585ef8"
"1410f2af0","unicode","text:/Text/%s/regulation.fmg",1,"14048c84e"
"1410f3c80","unicode","param:/ChrPhantomParam.param",1,"14048c980"
"1410f3d48","unicode","title:/enc_regulation.bnd.dcx",1,"14048cb30"
"1410f3e00","unicode","param:/OnlineEventParam.param",1,"14048ca40"
"1410fb928","unicode","SessionUdpTraffic",2,"140521c8d"
"14110abd8","string","nodeShareUpdateConnectionsNULL",1,"14060803f"
"14110abf8","string","nodeShareUpdateConnectionsChildren",1,"140608055"
"14110ac20","string","nodeShareUpdateConnectionsChildrenInputCPs",1,"14060806b"
"14110ac50","string","nodeShareUpdateConnectionsChildrenOptionalInputCPs",1,"140608081"
"14110ac90","string","nodeShareUpdateConnectionsChildren1CompulsoryManyOptionalInputCPs",1,"140608097"
"14110ace0","string","nodeShareUpdateConnectionsChildren2CompulsoryManyOptionalInputCPs",1,"1406080ad"
"14110ad28","string","nodeShareUpdateConnections1Child1InputCP",1,"1406080c3"
"14110ad58","string","nodeShareUpdateConnections1Child1OptionalInputCP",1,"1406080d9"
"14110ad90","string","nodeShareUpdateConnections1Child2OptionalInputCP",1,"1406080ef"
"14110adc8","string","nodeBlend2SyncEventsAdditiveUpdateConnections",1,"140608105"
"14110adf8","string","nodeBlend2SyncEventsUpdateConnections",1,"14060811b"
"14110ae20","string","nodeBlend2AdditiveUpdateConnections",1,"140608131"
"14110ae48","string","nodeBlend2UpdateConnections",1,"140608147"
"14110ae68","string","nodeSubtractiveBlendUpdateConnections",1,"14060815d"
"14110ae90","string","nodeSubtractiveBlendSyncEventsUpdateConnections",1,"140608173"
"14110aec0","string","nodeFeatherBlend2UpdateConnectionsFixBlendWeight",1,"140608189"
"14110aef8","string","nodeFeatherBlend2SyncEventsUpdateConnectionsFixBlendWeight",1,"14060819f"
"14110af38","string","nodeBlendNUpdateConnections",1,"1406081b5"
"14110af58","string","nodeScatterBlend1DOfflineUpdateConnections",1,"1406081cb"
"14110af88","string","nodeScatterBlend1DUpdateConnections",1,"1406081e1"
"14110afb0","string","nodeScatterBlend2DOfflineUpdateConnections",1,"1406081f7"
"14110afe0","string","nodeScatterBlend2DUpdateConnections",1,"14060820d"
"14110b008","string","nodeBlend2x2UpdateConnections",1,"140608223"
"14110b028","string","nodeBlend2x2SyncEventsUpdateConnections",1,"140608239"
"14110b050","string","nodeBlendNxMUpdateConnections",1,"14060824f"
"14110b070","string","nodeBlendAllUpdateConnections",1,"140608265"
"14110b090","string","nodeTwoBoneIKUpdateConnections",1,"14060827b"
"14110b0b0","string","nodeLockFootUpdateConnections",1,"140608291"
"14110b0d0","string","nodeStateMachineUpdateConnections",1,"1406082a7"
"14110b0f8","string","nodePredictiveUnevenTerrainUpdateConnections",1,"1406082bd"
"14110b128","string","nodeClosestAnimUpdateConnections",1,"1406082d3"
"14110b150","string","nodeTransitUpdateConnections",1,"1406082e9"
"14110b170","string","nodeTransitSyncEventsUpdateConnections",1,"1406082ff"
"14110b198","string","nodeSwitchUpdateConnections",1,"140608315"
"14110b1b8","string","nodeSequenceUpdateConnections",1,"14060832b"
"14110b1d8","string","nodeRetargetUpdateConnections",1,"140608341"
"14110b1f8","string","nodeScaleCharacterUpdateConnections",1,"140608357"
"14110b220","string","nodeExtractJointInfoJointSelectUpdateConnections",1,"14060836d"
"14110b258","string","nodeCCOverrideUpdateConnections",1,"140608383"
"14110b278","string","nodeAnimSyncEventsUpdateConnections",1,"140608399"
"14110b2a0","string","nodeFreezeUpdateConnections",1,"1406083af"
"141121620","string","RequestStatusForGetConnectSessionKey",1,"1406ca9e0"
"1411254d8","string","LtUpdateFilterOnPhantom",2,"1406f2d18"
"141125550","string","Stphantom",2,"1406f26d6"
"1411277c8","string","TtrcPhantom",4,"1407198b6"
"1411277d8","string","TthkpAabbPhantom::linearCast",2,"140719ae1"
"141128e78","string","hkcdShapeType::PHANTOM_CALLBACK",1,"1407285d9"
"1411491f0","unicode","SetConnectionNumMax",1,"14107e981"
"141149218","string","SetConnectionNumMax",1,"14107e988"
"141150468","string","User.OnlineName",1,"1408ec660"
"141150540","string","User.Privilege.MultiplayerSessions",1,"1408ed394"
"141160de0","unicode","CS_DISCONNECT",0,""
"141160e00","unicode","CS_CONNECT_LISTEN",0,""
"141160e28","unicode","CS_CONNECT_REQ",0,""
"141160e48","unicode","CS_CONNECTING",0,""
"141160e68","unicode","CS_CONNECTING_RECV_SYN",0,""
"141160e98","unicode","CS_CONNECTING_RECV_ACK",0,""
"141160ec8","unicode","CS_CONNECT_REFUSED",0,""
"141160ef0","unicode","CS_CONNECTED",0,""
"141160f10","unicode","CS_DISCONNECTING",0,""
"141160f38","unicode","CS_DISCONNECTING_S_FIN",0,""
"141160fb0","unicode","CS_DISCONNECTING_USER_CLOSE_WAIT",0,""
"141160ff8","unicode","CS_FORCE_DISCONNECTING",0,""
"141161040","unicode","CS_DISCONNECTING_S_FIN_ACK_R_FIN_ACK",0,""
"141161090","unicode","CS_DISCONNECTING_S_FIN_ACK_R_FIN",0,""
"1411610d8","unicode","CS_DISCONNECTING_S_FIN_R_ACK",0,""
"141161118","unicode","CS_DISCONNECTING_S_ACK_R_FIN",0,""
"141161190","unicode","CS_DISCONNECTING_S_ACK_R_FIN_USER_CLOSE_WAIT",0,""
"141180e10","string","DSP connection error.  Connection possibly caused a cyclic dependancy.  Or tried to connect a tree too many units deep (more than 128). ",1,"1409dd107"
"141180eb0","string","DSP Format error.  A DSP unit may have attempted to connect to this network with the wrong format. ",1,"1409dd10f"
"141180f20","string","DSP connection error.  Couldn't find the DSP unit specified. ",1,"1409dd117"
"141180f60","string","DSP error.  Cannot perform this operation while the network is in the middle of running.  This will most likely happen if a connection or disconnection is attempted in a DSP callback. ",1,"1409dd11f"
"141181020","string","DSP connection error.  The unit being connected to or disconnected should only have 1 input or output. ",1,"1409dd127"
"141181d80","string","Couldn't connect to the specified host. ",1,"1409dd28f"
"141181e90","string","Operation could not be performed because specified sound/DSP connection is not ready. ",1,"1409dd2af"
"141184960","string","DSP connection error.  Connection possibly caused a cyclic dependancy.  Or tried to connect a tree too many units deep (more than 128). ",0,""
"1411849f0","string","DSP Format error.  A DSP unit may have attempted to connect to this network with the wrong format. ",0,""
"141184a58","string","DSP connection error.  Couldn't find the DSP unit specified. ",0,""
"141184aa0","string","DSP error.  Cannot perform this operation while the network is in the middle of running.  This will most likely happen if a connection or disconnection is attempted in a DSP callback. ",0,""
"141184b60","string","DSP connection error.  The unit being connected to or disconnected should only have 1 input or output. ",0,""
"1411858e0","string","Couldn't connect to the specified host. ",0,""
"1411859f0","string","Operation could not be performed because specified sound/DSP connection is not ready. ",0,""
"141187a58","string","FMOD_OPENSTATE_CONNECTING",1,"1415badb8"
"1411895a0","string","DSP connection error.  Connection possibly caused a cyclic dependancy.  Or tried to connect a tree too many units deep (more than 128). ",1,"140a02ab7"
"141189630","string","DSP Format error.  A DSP unit may have attempted to connect to this network with the wrong format. ",1,"140a02abf"
"141189698","string","DSP connection error.  Couldn't find the DSP unit specified. ",1,"140a02ac7"
"1411896e0","string","DSP error.  Cannot perform this operation while the network is in the middle of running.  This will most likely happen if a connection or disconnection is attempted in a DSP callback. ",1,"140a02acf"
"1411897a0","string","DSP connection error.  The unit being connected to or disconnected should only have 1 input or output. ",1,"140a02ad7"
"14118a520","string","Couldn't connect to the specified host. ",1,"140a02c3f"
"14118a630","string","Operation could not be performed because specified sound/DSP connection is not ready. ",1,"140a02c5f"
"141197fe0","unicode","..\..\source\matching\NRSessionSearchResult.cpp",1,"140a3f312"
"141198070","unicode","..\..\source\matching\NRSessionSearchResult.cpp",0,""
"141198200","unicode","..\..\source\matching\NRSessionSearchResult.cpp",1,"140a3f504"
"141198370","unicode","..\..\source\matching\NRSessionSearchResult.cpp",1,"140a3f60a"
"141198530","unicode","..\..\source\matching\NRSessionSearchResult.cpp",1,"140a3eeee"
"1411985c0","unicode","..\..\source\matching\NRSessionSearchResult.cpp",1,"140a3ef6b"
"141198650","unicode","..\..\source\matching\NRSessionSearchResult.cpp",0,""
"1411986e0","unicode","..\..\source\matching\NRSessionSearchResult.cpp",0,""
"141198770","unicode","..\..\source\matching\NRSessionSearchResult.cpp",1,"140a3ed0e"
"141198820","unicode","..\..\source\matching\NRSessionSearchResult.cpp",1,"140a3ed83"
"141198960","unicode","..\..\source\matching\NRSessionSearchResult.cpp",1,"140a3fb28"
"14119c9c2","unicode","OnlineID    :%s",0,""
"14119c9ea","unicode","OnlineName  :%s",0,""
"14119cb82","unicode","OnlineID=%s Player=%s %s",0,""
"14119cca0","string","Create OnlineIDDataManager Failed.",1,"140a4b1f9"
"14119cfb4","unicode","SessionId=%d",0,""
"14119cff8","unicode"," SessionId=%d",0,""
"14119d06c","unicode","sessionID=%d reason=%d",0,""
"14119d0c4","unicode"," missCount=%d SessionId=%d",0,""
"14119d156","unicode"," SessionId=%d",0,""
"14119d21a","unicode","SessionId=%d",0,""
"14119d35a","unicode","State=%d SessionId=%d",0,""
"14119d3ac","unicode","sessionID=%d reason=%d error=1",0,""
"14119d41c","unicode","SessionId=%d",0,""
"14119d4c0","unicode","SessionId=%d",0,""
"14119d508","unicode"," SessionId=%d",0,""
"14119d590","unicode","SessionId=%d",0,""
"14119d602","unicode","SessionId=%d",0,""
"14119d63c","unicode","sessionID=%d",0,""
"14119d6c2","unicode","SessionId=%d",0,""
"14119d7b4","unicode","SessionId=%d",0,""
"14119d7fc","unicode","SessionId=%d",0,""
"14119d834","unicode","sessionID=%d",0,""
"14119d89c","unicode","SessionId=%d",0,""
"14119d9dc","unicode","SessionId=%d",0,""
"14119da50","unicode","SessionId=%d",0,""
"14119db4c","unicode","SessionId=%d",0,""
"14119dbc4","unicode","SessionId=%d",0,""
"14119dbfc","unicode","sessionID=%d",0,""
"14119dc72","unicode","SessionId=%d",0,""
"14119dcec","unicode","SessionId=%d",0,""
"14119ddf2","unicode","SessionId=%d Time=%I64d",0,""
"14119de30","unicode","..\..\source\matching\SessionLight.cpp",1,"140a4ebda"
"14119deea","unicode","To<%s> SessionId=%d",0,""
"14119df78","unicode","SessionId=%d",0,""
"14119dfd4","unicode","SessionId=%d",0,""
"14119e018","unicode","missCount=%d SessionId=%d",0,""
"14119e178","unicode","2 SessionId=%d",0,""
"14119e1d4","unicode","2 SessionId=%d",0,""
"14119e23c","unicode","To<%s> SessionId=%d",0,""
"14119e2a0","unicode","SessionId=%d",0,""
"14119e2e2","unicode","SessionId=%d",0,""
"14119e4fa","unicode","sessionId=%d",0,""
"14119e558","unicode","player=%s sessionId=%d",0,""
"14119e5da","unicode","sessionId=%d",0,""
"14119e6fc","unicode","sessionID=%d",0,""
"14119e7a8","unicode"," SessionId=%d",0,""
"14119e80a","unicode","Player=<%s> reason=%d SessionId=%d",0,""
"14119e8be","unicode"," SessionId=%d",0,""
"14119e916","unicode","To<%s> reason=%d SessionId=%d",0,""
"14119e988","unicode","sessionID=%d",0,""
"14119e9a8","unicode","m_bSessionState=JOIN&SID=%u",1,"140a528df"
"14119ea88","unicode"," SessionId=%d Time=%I64d",0,""
"14119eb2c","unicode","sessionID=%d",0,""
"14119eb8a","unicode","To<%s> LEAVE<%s> SessionId=%d",0,""
"14119ec00","unicode"," SessionId=%d Time=%I64d",0,""
"14119ec98","unicode"," SessionId=%d Time=%I64d",0,""
"14119ed5e","unicode"," SessionId=%d Time=%I64d",0,""
"14119edb8","unicode","m_bSessionState=JOIN&SID=%u",1,"140a52ac3"
"14119ee0c","unicode","sessionID=%d",0,""
"14119ee7e","unicode"," SessionId=%d",0,""
"14119efcc","unicode","sessionID=%d",0,""
"14119f01c","unicode","SessionId=%d",0,""
"14119f0ca","unicode"," SessionId=%d Time=%I64d",0,""
"14119f1f6","unicode","SessionId=%d",0,""
"14119f23c","unicode","SessionId=%d",0,""
"14119f274","unicode","sessionID=%d",0,""
"14119f316","unicode","SessionId=%d",0,""
"14119f40a","unicode"," SessionId=%d eventCode=%d",0,""
"14119f45c","unicode","sessionID=%d",0,""
"14119f4c6","unicode","SessionId=%d",0,""
"14119f5d4","unicode","sessionID=%d",0,""
"14119f626","unicode"," SessionId=%d Time=%I64d",0,""
"14119f752","unicode"," SessionId=%d",0,""
"14119f770","unicode","Recv ProtocolID_<%d>:FROM=%s SessionId=%d",1,"140a50cb6"
"14119f7e6","unicode"," SessionId=%d",0,""
"14119f840","unicode"," SessionId=%d Time=%I64d",0,""
"14119f91e","unicode"," SessionId=%d",0,""
"14119f97e","unicode"," SessionId=%d",0,""
"14119f9ce","unicode"," SessionId=%d",0,""
"14119fa0c","unicode"," SessionId=%d",0,""
"14119fa68","unicode","FROM=%s SessionId=%d",0,""
"14119fae6","unicode"," SessionId=%d",0,""
"14119fb3e","unicode"," SessionId=%d Time=%I64d",0,""
"14119fb70","unicode","m_bSessionState=LEAVE&SID=%u",1,"140a52d73"
"14119fbd6","unicode"," SessionId=%d",0,""
"14119fc6a","unicode"," SessionId=%d",0,""
"14119fe24","unicode","sessionID=%d",0,""
"14119feac","unicode","sessionID=%d",0,""
"14119ff76","unicode"," SessionId=%d",0,""
"1411a0038","unicode","SessionId=%d",0,""
"1411a008e","unicode"," SessionId=%d",0,""
"1411a00de","unicode","SessionId=%d",0,""
"1411a0146","unicode"," SessionId=%d",0,""
"1411a01cc","unicode","SessionId=%d",0,""
"1411a0236","unicode"," SessionId=%d",0,""
"1411a0304","unicode"," SessionId=%d",0,""
"1411a037c","unicode","sessionID=%d",0,""
"1411a0480","unicode"," SessionId=%d bShow=%d",0,""
"1411a0546","unicode","SessionId=%d",0,""
"1411a062c","unicode","SessionId=%d",0,""
"1411a0664","unicode","%u SessionId=%d",0,""
"1411a0732","unicode"," SessionId=%d bShow=%d",0,""
"1411a07d6","unicode","Member:%d/%d SessionId=%d",0,""
"1411a082c","unicode","sessionID=%d",0,""
"1411a08be","unicode","SessionId=%d",0,""
"1411a0906","unicode"," SessionId=%d",0,""
"1411a0a36","unicode","missCount=%d SessionId=%d",0,""
"1411a0a9c","unicode","SessionId=%d",0,""
"1411a1c80","unicode","..\..\source\surveillance\steam\SteamSurveillance.cpp",0,""
"1411a1e5a","unicode","SteamID:0x%I64x",0,""
"1411a1f80","unicode","..\..\source\surveillance\steam\SteamSurveillance.cpp",0,""
"1411a24e8","unicode","EVENT_LAN_DISCONNECT",1,"140a55d10"
"1411a2518","unicode","EVENT_LAN_CONNECT",1,"140a55d22"
"1411a25a0","unicode","EVENT_CREATE_SESSION",1,"140a55d6a"
"1411a25d0","unicode","EVENT_JOIN_SESSION",1,"140a55d7c"
"1411a25f8","unicode","EVENT_QUICK_JOIN_SESSION",1,"140a55d8e"
"1411a2630","unicode","EVENT_INVITE_SESSION",1,"140a55da0"
"1411a2690","unicode","EVENT_LEAVE_SESSION",1,"140a55dc4"
"1411a2740","unicode","EVENT_SEARCH_SESSION_END",1,"140a55e0c"
"1411a28b8","unicode","EVENT_SHOW_SESSION",1,"140a55e9c"
"1411a28e0","unicode","EVENT_HIDE_SESSION",1,"140a55eae"
"1411a2950","unicode","EVENT_LOAD_SESSION_PROPERTY",1,"140a55ee4"
"1411a2988","unicode","EVENT_STORE_SESSION_PROPERTY",1,"140a55ef6"
"1411a2a60","unicode","EVENT_SESSION_DISAPPEARED",1,"140a55f50"
"1411a2c00","unicode","EVENT_SEARCH_LOBBY_END",1,"140a55fe0"
"1411a2c30","unicode","EVENT_JOIN_LOBBY",1,"140a55ff2"
"1411a2c58","unicode","EVENT_LEAVE_LOBBY",1,"140a56004"
"1411a2c80","unicode","EVENT_GET_LOBBY_MEMBER_INFO",1,"140a56016"
"1411a2e20","unicode","EVENT_INVITE_SESSION_BY_PLAYER",1,"140a5609d"
"1411a3390","unicode","..\..\source\matching\NRLobbyMemberInfo.cpp",0,""
"1411a3420","unicode","..\..\source\matching\NRLobbyMemberInfo.cpp",0,""
"1411a34b0","unicode","..\..\source\matching\NRLobbyMemberInfo.cpp",1,"140a57514"
"1411a3540","unicode","..\..\source\matching\NRLobbyMemberInfo.cpp",1,"140a57587"
"1411a35d0","unicode","..\..\source\matching\NRLobbyMemberInfo.cpp",1,"140a57769"
"1411a3660","unicode","..\..\source\matching\NRLobbyMemberInfo.cpp",1,"140a57805"
"1411a45ba","unicode","sessionId=%d",0,""
"1411a4630","unicode","..\..\source\matching\SessionManager.cpp",1,"140a5b660"
